0.212,-0.278,-156
0.222,-0.333,-155
0.161,-0.333,-157
0.098,-0.334,-156
0.031,-0.332,-153
-0.032,-0.362,-149
-0.085,-0.429,-149
-0.171,-0.504,-151
-0.246,-0.55,-151
-0.355,-0.599,-152
-0.478,-0.641,-150
-0.586,-0.692,-150
-0.692,-0.759,-151
-0.801,-0.849,-153
-0.903,-0.934,-154
-0.993,-0.998,-154
-1.095,-1.058,-150
-1.207,-1.114,-146
-1.313,-1.174,-142
-1.417,-1.244,-139
-1.511,-1.33,-137
-1.598,-1.418,-136
-1.686,-1.503,-132
-1.789,-1.581,-127
-1.896,-1.657,-121
-1.986,-1.747,-117
-2.053,-1.836,-113
-2.105,-1.947,-110
-2.143,-2.058,-108
-2.175,-2.155,-103
-2.219,-2.269,-99
-2.266,-2.377,-89
-2.289,-2.504,-84
-2.299,-2.625,-81
-2.292,-2.751,-79
-2.263,-2.874,-79
-2.239,-2.985,-75
-2.215,-3.096,-70
-2.188,-3.219,-65
-2.162,-3.337,-59
-2.113,-3.442,-54
-1.939,-3.569,-100
-1.864,-3.667,-43
-1.783,-3.749,-39
-1.706,-3.837,-33
-1.623,-3.915,-26
-1.53,-3.967,-19
-1.423,-4.0,-15
-1.313,-4.022,-13
-1.216,-4.051,-10
-1.128,-4.088,-7
-1.023,-4.141,-2
-0.921,-4.184,5
-0.817,-4.201,10
-0.706,-4.191,14
-0.588,-4.169,17
-0.473,-4.151,21
-0.357,-4.136,24
-0.234,-4.122,29
-0.131,-4.086,34
-0.034,-4.017,35
0.067,-3.93,35
0.161,-3.835,33
0.273,-3.736,33
0.392,-3.659,34
0.511,-3.588,36
0.614,-3.507,35
0.718,-3.408,33
0.82,-3.297,30
0.929,-3.198,28
1.048,-3.114,27
1.161,-3.044,28
1.284,-2.963,27
1.391,-2.868,26
1.497,-2.762,22
1.606,-2.66,18
1.717,-2.588,17
1.839,-2.53,17
1.967,-2.481,16
2.092,-2.435,17
2.217,-2.379,17
2.34,-2.318,15
2.464,-2.269,15
2.593,-2.231,20
2.731,-2.205,24
2.874,-2.182,29
2.997,-2.135,33
3.107,-2.073,37
3.205,-1.997,40
3.294,-1.929,44
3.393,-1.867,52
3.485,-1.819,59
3.595,-1.75,67
3.682,-1.671,73
3.791,-1.489,27
3.873,-1.372,79
3.936,-1.263,86
4.004,-1.153,93
4.053,-1.047,99
4.073,-0.939,103
4.071,-0.818,106
4.059,-0.699,109
4.05,-0.59,113
4.043,-0.465,119
4.037,-0.334,126
4.019,-0.215,133
3.979,-0.115,137
3.912,-0.016,139
3.832,0.081,143
3.754,0.171,149
3.665,0.274,156
3.575,0.377,162
3.48,0.456,168
3.383,0.511,173
3.255,0.559,176
3.115,0.599,178
2.984,0.637,-178
2.842,0.678,-172
2.702,0.705,-167
2.568,0.7,-162
2.426,0.669,-160
2.282,0.619,-161
2.145,0.574,-160
1.998,0.532,-160
1.842,0.49,-157
1.705,0.445,-155
1.574,0.378,-155
1.44,0.288,-156
1.315,0.213,-159
1.193,0.151,-159
1.051,0.087,-158
0.905,0.038,-156
0.791,-0.018,-155
0.673,-0.089,-158
0.567,-0.147,-159
0.461,-0.194,-158
0.34,-0.258,-159
0.242,-0.292,-157
0.192,-0.321,-159
0.115,-0.34,-157
